Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,34.00499999999999,0.0,0.0,0.0056340694427490234,,,,,,,,,,,,,,,,,,,,,15.552626298565077,10.95080395029898,33.44976102033706,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,110.0,2.0,70.0,110.0,0.1,62.006999999999984,0.0,0.0,6.345096588134766,,,,,,,,,,,,,,,,,,,,,28.2059666539528,19.157964620409796,60.1528278370696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,150.0,3.0,40.0,150.0,0.1,32.006999999999984,0.0,0.0,10.319025993347168,,,,,,,,,,,,,,,,,,,,,13.857911937738374,10.59853562191047,31.515683373554204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,179.0,4.0,29.0,179.0,0.1,20.00800000000001,0.0,0.0,13.147767543792725,,,,,,,,,,,,,,,,,,,,,7.8851306453375205,7.000816490359885,19.818949290917754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,218.0,5.0,39.0,218.0,0.1,30.00800000000001,0.0,0.0,16.82596707344055,,,,,,,,,,,,,,,,,,,,,12.573202423156967,10.084089981477542,29.57676906686154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,245.0,6.0,27.0,245.0,0.1,20.006000000000007,0.0,0.0,19.520535707473755,,,,,,,,,,,,,,,,,,,,,8.467132067733255,6.90632091506694,19.8170016204104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,282.0,7.0,37.0,282.0,0.1,28.00800000000001,0.0,0.0,23.267579555511475,,,,,,,,,,,,,,,,,,,,,11.627863057796365,9.47899290955629,27.6330074487516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,376.0,8.0,94.0,376.0,0.1,86.00700000000003,0.0,0.0,31.615183115005493,,,,,,,,,,,,,,,,,,,,,39.57623834156781,25.69921225873675,82.4516544531445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,407.0,9.0,31.0,407.0,0.1,23.00700000000001,0.0,0.0,34.63394856452942,,,,,,,,,,,,,,,,,,,,,9.577611619648408,7.889897177142427,22.755582449106665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,438.0,10.0,31.0,438.0,0.1,23.00700000000001,0.0,0.0,37.68236827850342,,,,,,,,,,,,,,,,,,,,,9.577611619648408,7.889897177142427,22.755582449106665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,487.0,11.0,49.0,487.0,0.1,40.00799999999998,0.0,0.0,42.200679063797,,,,,,,,,,,,,,,,,,,,,17.326266972722564,13.0466887692494,39.2374485780441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,532.0,12.0,45.0,532.0,0.1,30.014000000000017,0.0,0.0,46.629576683044434,,,,,,,,,,,,,,,,,,,,,10.90232590201932,10.315219557918402,29.582530813505333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,580.0,13.0,48.0,580.0,0.1,39.00799999999998,0.0,0.0,51.04881691932678,,,,,,,,,,,,,,,,,,,,,16.849768136123746,12.754480867076245,38.275724302346454,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,609.0,14.0,29.0,609.0,0.1,20.00800000000001,0.0,0.0,53.917287826538086,,,,,,,,,,,,,,,,,,,,,7.8851306453375205,7.000816490359885,19.818949290917754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,632.0,15.0,23.0,632.0,0.1,15.006999999999996,0.0,0.0,56.30781006813049,,,,,,,,,,,,,,,,,,,,,5.8461320884418475,5.373576851069682,14.902328717071263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,669.0,16.0,37.0,669.0,0.1,29.00700000000001,0.0,0.0,60.051873445510864,,,,,,,,,,,,,,,,,,,,,12.426226941693049,9.706366069875953,28.604409818384315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,721.0,17.0,52.0,721.0,0.1,42.00899999999998,0.0,0.0,64.88344550132751,,,,,,,,,,,,,,,,,,,,,17.929089333057966,13.728563483353819,41.158964123964786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,771.0,18.0,50.0,771.0,0.1,41.00799999999998,0.0,0.0,69.5178952217102,,,,,,,,,,,,,,,,,,,,,17.802901891634846,13.338112140166977,40.19821112946605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,815.0,19.0,44.0,815.0,0.1,32.010999999999974,0.0,0.0,73.71778512001038,,,,,,,,,,,,,,,,,,,,,12.601886244677269,10.862358306354515,31.519524534779226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,868.0,20.0,53.0,868.0,0.1,38.01399999999997,0.0,0.0,78.64532899856567,,,,,,,,,,,,,,,,,,,,,14.52541573943665,12.830749839445252,37.31875315336343,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,42.0,1.0,42.0,910.0,0.1,33.00799999999998,0.0,0.0,160.31641149520874,,,,,,,,,,,,,,,,,,,,,13.995459795260496,10.983089442874787,32.48512846039139,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,77.0,2.0,35.0,945.0,0.1,27.00700000000001,0.0,0.0,163.7530345916748,,,,,,,,,,,,,,,,,,,,,11.474005189019786,9.106060037837521,26.658700560805368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,122.0,3.0,45.0,990.0,0.1,27.01700000000002,0.0,0.0,168.30129051208496,,,,,,,,,,,,,,,,,,,,,8.933049886873437,9.341522565604363,26.668322732232436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,175.0,4.0,53.0,1043.0,0.1,42.00999999999998,0.0,0.0,173.2487723827362,,,,,,,,,,,,,,,,,,,,,17.59177906518936,13.815485646705488,41.159914378387356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,255.0,5.0,80.0,1123.0,0.1,73.00600000000003,0.0,0.0,180.72598123550415,,,,,,,,,,,,,,,,,,,,,33.85151293813705,22.002032179268834,70.43868589805926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,318.0,6.0,63.0,1186.0,0.1,55.006999999999984,0.0,0.0,186.62806797027588,,,,,,,,,,,,,,,,,,,,,24.865693522006918,17.20607850589469,53.54750276614308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,352.0,7.0,34.0,1220.0,0.1,24.00900000000001,0.0,0.0,190.20566821098328,,,,,,,,,,,,,,,,,,,,,9.461205194179666,8.295582387194973,23.734764818269618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,383.0,8.0,31.0,1251.0,0.1,23.00700000000001,0.0,0.0,193.32839155197144,,,,,,,,,,,,,,,,,,,,,9.577611619648408,7.889897177142427,22.755582449106665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,436.0,9.0,53.0,1304.0,0.1,42.00999999999998,0.0,0.0,198.31388568878174,,,,,,,,,,,,,,,,,,,,,17.59177906518936,13.815485646705488,41.159914378387356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,490.0,10.0,54.0,1358.0,0.1,46.006999999999984,0.0,0.0,203.43022298812866,,,,,,,,,,,,,,,,,,,,,20.560094178136882,14.66075741624729,44.98668329428589,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
